Description	
Number of Runs	300
Preset Time	10
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes
130	750	341	10.00	22.05.2012 16:45:02	
131	750	331	10.00	22.05.2012 16:45:13	
132	750	299	10.00	22.05.2012 16:45:24	
133	750	291	10.00	22.05.2012 16:45:35	
134	750	315	10.00	22.05.2012 16:45:46	
135	750	326	10.00	22.05.2012 16:45:57	
136	750	320	10.00	22.05.2012 16:46:08	
137	750	320	10.00	22.05.2012 16:46:19	
138	750	305	10.00	22.05.2012 16:46:30	
139	750	296	10.00	22.05.2012 16:46:41	
140	750	299	10.00	22.05.2012 16:46:51	
141	750	357	10.00	22.05.2012 16:47:02	
142	750	308	10.00	22.05.2012 16:47:13	
143	750	327	10.00	22.05.2012 16:47:24	
144	750	312	10.00	22.05.2012 16:47:35	
145	750	364	10.00	22.05.2012 16:47:46	
146	750	319	10.00	22.05.2012 16:47:57	
147	750	309	10.00	22.05.2012 16:48:08	
148	750	317	10.00	22.05.2012 16:48:19	
149	750	304	10.00	22.05.2012 16:48:30	
150	750	329	10.00	22.05.2012 16:48:41	
151	750	307	10.00	22.05.2012 16:48:52	
152	750	329	10.00	22.05.2012 16:49:03	
153	750	318	10.00	22.05.2012 16:49:14	
154	750	331	10.00	22.05.2012 16:49:26	
155	750	297	10.00	22.05.2012 16:49:37	
156	750	327	10.00	22.05.2012 16:49:47	
157	750	294	10.00	22.05.2012 16:49:58	
158	750	338	10.00	22.05.2012 16:50:09	
159	750	356	10.00	22.05.2012 16:50:20	
160	750	311	10.00	22.05.2012 16:50:31	
161	750	334	10.00	22.05.2012 16:50:41	
162	750	311	10.00	22.05.2012 16:50:53	
163	750	304	10.00	22.05.2012 16:51:04	
164	750	335	10.00	22.05.2012 16:51:15	
165	750	345	10.00	22.05.2012 16:51:26	
166	750	297	10.00	22.05.2012 16:51:37	
167	750	297	10.00	22.05.2012 16:51:48	
168	750	332	10.00	22.05.2012 16:51:59	
169	750	350	10.00	22.05.2012 16:52:10	
170	750	322	10.00	22.05.2012 16:52:21	
171	750	309	10.00	22.05.2012 16:52:32	
172	750	323	10.00	22.05.2012 16:52:42	
173	750	295	10.00	22.05.2012 16:52:53	
174	750	339	10.00	22.05.2012 16:53:04	
175	750	338	10.00	22.05.2012 16:53:15	
176	750	302	10.00	22.05.2012 16:53:26	
177	750	332	10.00	22.05.2012 16:53:37	
178	750	355	10.00	22.05.2012 16:53:48	
179	750	294	10.00	22.05.2012 16:53:59	
180	750	331	10.00	22.05.2012 16:54:10	
181	750	310	10.00	22.05.2012 16:54:21	
182	750	310	10.00	22.05.2012 16:54:32	
183	750	320	10.00	22.05.2012 16:54:43	
184	750	310	10.00	22.05.2012 16:54:54	
185	750	300	10.00	22.05.2012 16:55:05	
186	750	311	10.00	22.05.2012 16:55:16	
187	750	317	10.00	22.05.2012 16:55:27	
188	750	336	10.00	22.05.2012 16:55:37	
189	750	324	10.00	22.05.2012 16:55:48	
190	750	319	10.00	22.05.2012 16:55:59	
191	750	303	10.00	22.05.2012 16:56:10	
192	750	315	10.00	22.05.2012 16:56:21	
193	750	300	10.00	22.05.2012 16:56:32	
194	750	353	10.00	22.05.2012 16:56:43	
195	750	322	10.00	22.05.2012 16:56:54	
196	750	304	10.00	22.05.2012 16:57:05	
197	750	284	10.00	22.05.2012 16:57:16	
198	750	331	10.00	22.05.2012 16:57:27	
199	750	314	10.00	22.05.2012 16:57:38	
200	750	329	10.00	22.05.2012 16:57:49	
201	750	314	10.00	22.05.2012 16:58:00	
202	750	301	10.00	22.05.2012 16:58:11	
203	750	294	10.00	22.05.2012 16:58:22	
204	750	327	10.00	22.05.2012 16:58:32	
205	750	311	10.00	22.05.2012 16:58:43	
206	750	317	10.00	22.05.2012 16:58:54	
207	750	326	10.00	22.05.2012 16:59:05	
208	750	310	10.00	22.05.2012 16:59:16	
209	750	326	10.00	22.05.2012 16:59:27	
210	750	332	10.00	22.05.2012 16:59:38	
211	750	322	10.00	22.05.2012 16:59:49	
212	750	337	10.00	22.05.2012 17:00:00	
213	750	318	10.00	22.05.2012 17:00:11	
214	750	336	10.00	22.05.2012 17:00:22	
215	750	322	10.00	22.05.2012 17:00:33	
216	750	325	10.00	22.05.2012 17:00:44	
217	750	331	10.00	22.05.2012 17:00:55	
218	750	357	10.00	22.05.2012 17:01:06	
219	750	295	10.00	22.05.2012 17:01:17	
220	750	329	10.00	22.05.2012 17:01:27	
221	750	314	10.00	22.05.2012 17:01:38	
222	750	323	10.00	22.05.2012 17:01:49	
223	750	331	10.00	22.05.2012 17:02:00	
224	750	296	10.00	22.05.2012 17:02:11	
225	750	312	10.00	22.05.2012 17:02:22	
226	750	306	10.00	22.05.2012 17:02:33	
227	750	305	10.00	22.05.2012 17:02:44	
228	750	316	10.00	22.05.2012 17:02:55	
229	750	344	10.00	22.05.2012 17:03:06	
230	750	291	10.00	22.05.2012 17:03:17	
231	750	298	10.00	22.05.2012 17:03:28	
232	750	296	10.00	22.05.2012 17:03:39	
233	750	325	10.00	22.05.2012 17:03:50	
234	750	307	10.00	22.05.2012 17:04:01	
235	750	327	10.00	22.05.2012 17:04:12	
236	750	289	10.00	22.05.2012 17:04:22	
237	750	319	10.00	22.05.2012 17:04:33	
238	750	342	10.00	22.05.2012 17:04:44	
239	750	316	10.00	22.05.2012 17:04:55	
240	750	314	10.00	22.05.2012 17:05:06	
241	750	320	10.00	22.05.2012 17:05:17	
242	750	308	10.00	22.05.2012 17:05:28	
243	750	296	10.00	22.05.2012 17:05:39	
244	750	324	10.00	22.05.2012 17:05:50	
245	750	329	10.00	22.05.2012 17:06:01	
246	750	317	10.00	22.05.2012 17:06:12	
247	750	308	10.00	22.05.2012 17:06:23	
248	750	342	10.00	22.05.2012 17:06:34	
249	750	326	10.00	22.05.2012 17:06:45	
250	750	311	10.00	22.05.2012 17:06:56	
251	750	339	10.00	22.05.2012 17:07:07	
252	750	373	10.00	22.05.2012 17:07:17	
253	750	297	10.00	22.05.2012 17:07:28	
254	750	333	10.00	22.05.2012 17:07:39	
255	750	314	10.00	22.05.2012 17:07:50	
256	750	375	10.00	22.05.2012 17:08:01	
257	750	319	10.00	22.05.2012 17:08:12	
258	750	340	10.00	22.05.2012 17:08:23	
259	750	353	10.00	22.05.2012 17:08:34	
260	750	328	10.00	22.05.2012 17:08:45	
261	750	326	10.00	22.05.2012 17:08:56	
262	750	304	10.00	22.05.2012 17:09:07	
263	750	317	10.00	22.05.2012 17:09:18	
264	750	335	10.00	22.05.2012 17:09:29	
265	750	341	10.00	22.05.2012 17:09:40	
266	750	341	10.00	22.05.2012 17:09:51	
267	750	288	10.00	22.05.2012 17:10:02	
268	750	312	10.00	22.05.2012 17:10:13	
269	750	310	10.00	22.05.2012 17:10:24	
270	750	316	10.00	22.05.2012 17:10:35	
271	750	346	10.00	22.05.2012 17:10:46	
272	750	337	10.00	22.05.2012 17:10:57	
273	750	364	10.00	22.05.2012 17:11:08	
274	750	337	10.00	22.05.2012 17:11:18	
275	750	295	10.00	22.05.2012 17:11:29	
276	750	316	10.00	22.05.2012 17:11:40	
277	750	323	10.00	22.05.2012 17:11:51	
278	750	315	10.00	22.05.2012 17:12:02	
279	750	296	10.00	22.05.2012 17:12:13	
280	750	321	10.00	22.05.2012 17:12:24	
281	750	309	10.00	22.05.2012 17:12:35	
282	750	283	10.00	22.05.2012 17:12:46	
283	750	332	10.00	22.05.2012 17:12:57	
284	750	331	10.00	22.05.2012 17:13:08	
285	750	341	10.00	22.05.2012 17:13:19	
