Description	
Number of Runs	300
Preset Time	2
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes
90	750	0	2.00	22.05.2012 15:54:52	
91	750	1	2.00	22.05.2012 15:54:55	
92	750	2	2.00	22.05.2012 15:54:58	
93	750	2	2.00	22.05.2012 15:55:01	
94	750	3	2.00	22.05.2012 15:55:04	
95	750	1	2.00	22.05.2012 15:55:07	
96	750	2	2.00	22.05.2012 15:55:10	
97	750	0	2.00	22.05.2012 15:55:13	
98	750	4	2.00	22.05.2012 15:55:16	
99	750	2	2.00	22.05.2012 15:55:19	
100	750	2	2.00	22.05.2012 15:55:22	
101	750	2	2.00	22.05.2012 15:55:25	
102	750	1	2.00	22.05.2012 15:55:28	
103	750	1	2.00	22.05.2012 15:55:32	
104	750	2	2.00	22.05.2012 15:55:34	
105	750	3	2.00	22.05.2012 15:55:38	
106	750	0	2.00	22.05.2012 15:55:40	
107	750	4	2.00	22.05.2012 15:55:44	
108	750	0	2.00	22.05.2012 15:55:46	
109	750	2	2.00	22.05.2012 15:55:50	
110	750	3	2.00	22.05.2012 15:55:53	
111	750	2	2.00	22.05.2012 15:55:56	
112	750	2	2.00	22.05.2012 15:55:59	
113	750	3	2.00	22.05.2012 15:56:02	
114	750	1	2.00	22.05.2012 15:56:05	
115	750	1	2.00	22.05.2012 15:56:08	
116	750	3	2.00	22.05.2012 15:56:11	
117	750	2	2.00	22.05.2012 15:56:14	
118	750	2	2.00	22.05.2012 15:56:17	
119	750	1	2.00	22.05.2012 15:56:20	
120	750	5	2.00	22.05.2012 15:56:23	
121	750	2	2.00	22.05.2012 15:56:26	
122	750	2	2.00	22.05.2012 15:56:29	
123	750	2	2.00	22.05.2012 15:56:32	
124	750	3	2.00	22.05.2012 15:56:35	
125	750	0	2.00	22.05.2012 15:56:38	
126	750	1	2.00	22.05.2012 15:56:41	
127	750	3	2.00	22.05.2012 15:56:44	
128	750	2	2.00	22.05.2012 15:56:47	
129	750	1	2.00	22.05.2012 15:56:50	
130	750	1	2.00	22.05.2012 15:56:53	
131	750	1	2.00	22.05.2012 15:56:56	
132	750	2	2.00	22.05.2012 15:56:59	
133	750	3	2.00	22.05.2012 15:57:02	
134	750	2	2.00	22.05.2012 15:57:05	
135	750	1	2.00	22.05.2012 15:57:08	
136	750	5	2.00	22.05.2012 15:57:11	
137	750	2	2.00	22.05.2012 15:57:14	
138	750	0	2.00	22.05.2012 15:57:17	
139	750	2	2.00	22.05.2012 15:57:20	
140	750	2	2.00	22.05.2012 15:57:23	
141	750	1	2.00	22.05.2012 15:57:26	
142	750	3	2.00	22.05.2012 15:57:29	
143	750	0	2.00	22.05.2012 15:57:32	
144	750	0	2.00	22.05.2012 15:57:35	
145	750	4	2.00	22.05.2012 15:57:38	
146	750	2	2.00	22.05.2012 15:57:41	
147	750	3	2.00	22.05.2012 15:57:44	
148	750	5	2.00	22.05.2012 15:57:47	
149	750	0	2.00	22.05.2012 15:57:50	
150	750	3	2.00	22.05.2012 15:57:53	
151	750	1	2.00	22.05.2012 15:57:56	
152	750	0	2.00	22.05.2012 15:57:59	
