Description	
Number of Runs	300
Preset Time	2
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes

1	750	2	2.00	22.05.2012 15:50:25	
2	750	1	2.00	22.05.2012 15:50:28	
3	750	2	2.00	22.05.2012 15:50:31	
4	750	1	2.00	22.05.2012 15:50:34	
5	750	1	2.00	22.05.2012 15:50:37	
6	750	1	2.00	22.05.2012 15:50:40	
7	750	1	2.00	22.05.2012 15:50:43	
8	750	1	2.00	22.05.2012 15:50:46	
9	750	1	2.00	22.05.2012 15:50:49	
10	750	2	2.00	22.05.2012 15:50:52	
11	750	1	2.00	22.05.2012 15:50:55	
12	750	1	2.00	22.05.2012 15:50:58	
13	750	1	2.00	22.05.2012 15:51:01	
14	750	2	2.00	22.05.2012 15:51:04	
15	750	3	2.00	22.05.2012 15:51:07	
16	750	2	2.00	22.05.2012 15:51:10	
17	750	0	2.00	22.05.2012 15:51:13	
18	750	3	2.00	22.05.2012 15:51:16	
19	750	5	2.00	22.05.2012 15:51:19	
20	750	0	2.00	22.05.2012 15:51:22	
21	750	4	2.00	22.05.2012 15:51:25	
22	750	0	2.00	22.05.2012 15:51:28	
23	750	2	2.00	22.05.2012 15:51:31	
24	750	2	2.00	22.05.2012 15:51:34	
25	750	0	2.00	22.05.2012 15:51:37	
26	750	1	2.00	22.05.2012 15:51:40	
27	750	0	2.00	22.05.2012 15:51:43	
28	750	1	2.00	22.05.2012 15:51:46	
29	750	1	2.00	22.05.2012 15:51:49	
30	750	2	2.00	22.05.2012 15:51:52	
31	750	1	2.00	22.05.2012 15:51:55	
32	750	0	2.00	22.05.2012 15:51:58	
33	750	2	2.00	22.05.2012 15:52:01	
34	750	1	2.00	22.05.2012 15:52:04	
35	750	1	2.00	22.05.2012 15:52:07	
36	750	2	2.00	22.05.2012 15:52:10	
37	750	1	2.00	22.05.2012 15:52:13	
38	750	2	2.00	22.05.2012 15:52:16	
39	750	1	2.00	22.05.2012 15:52:19	
40	750	1	2.00	22.05.2012 15:52:22	
41	750	3	2.00	22.05.2012 15:52:25	
42	750	0	2.00	22.05.2012 15:52:28	
43	750	0	2.00	22.05.2012 15:52:31	
44	750	1	2.00	22.05.2012 15:52:34	
45	750	2	2.00	22.05.2012 15:52:37	
46	750	1	2.00	22.05.2012 15:52:40	
47	750	1	2.00	22.05.2012 15:52:43	
48	750	3	2.00	22.05.2012 15:52:46	
49	750	2	2.00	22.05.2012 15:52:49	
50	750	2	2.00	22.05.2012 15:52:52	
51	750	1	2.00	22.05.2012 15:52:55	
52	750	2	2.00	22.05.2012 15:52:58	
53	750	2	2.00	22.05.2012 15:53:01	
54	750	1	2.00	22.05.2012 15:53:04	
55	750	0	2.00	22.05.2012 15:53:07	
56	750	2	2.00	22.05.2012 15:53:10	
57	750	2	2.00	22.05.2012 15:53:13	
58	750	4	2.00	22.05.2012 15:53:16	
59	750	2	2.00	22.05.2012 15:53:19	
60	750	3	2.00	22.05.2012 15:53:22	
61	750	3	2.00	22.05.2012 15:53:25	
62	750	2	2.00	22.05.2012 15:53:28	
63	750	2	2.00	22.05.2012 15:53:31	
64	750	1	2.00	22.05.2012 15:53:34	
65	750	2	2.00	22.05.2012 15:53:37	
66	750	1	2.00	22.05.2012 15:53:40	
67	750	1	2.00	22.05.2012 15:53:43	
68	750	2	2.00	22.05.2012 15:53:46	
69	750	4	2.00	22.05.2012 15:53:49	
70	750	3	2.00	22.05.2012 15:53:52	
71	750	1	2.00	22.05.2012 15:53:55	
72	750	2	2.00	22.05.2012 15:53:58	
73	750	1	2.00	22.05.2012 15:54:01	
74	750	1	2.00	22.05.2012 15:54:04	
75	750	3	2.00	22.05.2012 15:54:07	
76	750	1	2.00	22.05.2012 15:54:10	
77	750	4	2.00	22.05.2012 15:54:13	
78	750	1	2.00	22.05.2012 15:54:16	
79	750	1	2.00	22.05.2012 15:54:19	
80	750	1	2.00	22.05.2012 15:54:22	
81	750	2	2.00	22.05.2012 15:54:25	
82	750	5	2.00	22.05.2012 15:54:28	
83	750	2	2.00	22.05.2012 15:54:31	
84	750	0	2.00	22.05.2012 15:54:34	
85	750	1	2.00	22.05.2012 15:54:37	
86	750	1	2.00	22.05.2012 15:54:40	
87	750	2	2.00	22.05.2012 15:54:43	
88	750	2	2.00	22.05.2012 15:54:46	
89	750	2	2.00	22.05.2012 15:54:49	
