Description	
Number of Runs	150
Preset Time	2
Preset Counts	0
Pause Time	0
Alarm Level	0
High Voltage	750

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time	Notes
130	750	0	2.00	22.05.2012 16:08:18	
131	750	0	2.00	22.05.2012 16:08:21	
132	750	5	2.00	22.05.2012 16:08:24	
133	750	0	2.00	22.05.2012 16:08:27	
134	750	3	2.00	22.05.2012 16:08:30	
135	750	2	2.00	22.05.2012 16:08:34	
136	750	1	2.00	22.05.2012 16:08:36	
137	750	1	2.00	22.05.2012 16:08:40	
138	750	0	2.00	22.05.2012 16:08:42	
139	750	2	2.00	22.05.2012 16:08:46	
140	750	2	2.00	22.05.2012 16:08:48	
141	750	1	2.00	22.05.2012 16:08:52	
142	750	1	2.00	22.05.2012 16:08:55	
143	750	0	2.00	22.05.2012 16:08:58	
144	750	2	2.00	22.05.2012 16:09:01	
145	750	0	2.00	22.05.2012 16:09:04	
146	750	0	2.00	22.05.2012 16:09:07	
147	750	1	2.00	22.05.2012 16:09:10	
148	750	5	2.00	22.05.2012 16:09:13	
149	750	3	2.00	22.05.2012 16:09:16	
150	750	2	2.00	22.05.2012 16:09:19	
